id,search_term,title,price,currency,category,brand,condition,gender,url,transformation_timestamp
2644,new adidas jackets unisex,adidas chinese limited snake year truck jacket blue size l unisex sportwear new,283.22,USD,jackets,adidas,New with tags,unisex,https://www.ebay.com/itm/388422832450?_skw=new+adidas+jackets+unisex&hash=item5a6fce1142:g:OUYAAOSw3lJoN7S7,2025-06-11 18:51:37
2645,new adidas jackets unisex,adidas light windbreaker gd3554 green various sizes new og unisex top jacket,40.5,USD,jackets,adidas,New with tags,unisex,https://www.ebay.com/itm/334505034548?_skw=new+adidas+jackets+unisex&hash=item4de20dc334:g:HpoAAOSwUrhi0vi9,2025-06-11 18:51:37
2646,new adidas jackets unisex,adidas chinese limited snake year truck jacket white size m unisex sportswear,234.96,USD,jackets,adidas,New with tags,unisex,https://www.ebay.com/itm/388422862992?_skw=new+adidas+jackets+unisex&hash=item5a6fce8890:g:X9sAAOSw0wFoPndi,2025-06-11 18:51:37
2647,new adidas jackets unisex,adidas ivy puffer jacket originals oversize collared camouflage revisable coat,99.9,USD,coats,adidas,New with tags,,https://www.ebay.com/itm/285610968849?_skw=new+adidas+jackets+unisex&hash=item427fbd8711:g:jGwAAOSw6G9lfgq~&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbvnH6FIJvcOpf5jlhuIQ93E8oFukKxRiMONaS%2BKHA%2Fzd6iiB0YVSxeLGfzJvwIX0T37iLuzPhOfCfdTtiLsz9Yg6QWUFulu9VOn8l2F7yC0jrKgVSFoTCPfvqDnH4aOpOytHUlL%2BEeCeVxMdQy1kHZValQyOVnVSPJKZajV9%2Be9VM3qT26aqRal5tkSt4WsYbO33FjqeA4dK2NkttzzHYqSpUOYo6%2BgTgBimzYXqc3OYW7HjC%2BWmKMQTNLvbemZBj6jAGQwGUXFzed0eCRElkwSzaJ03ZX2UPf7x0tZPQtzA%3D%3D,2025-06-11 18:51:37
2648,new adidas jackets unisex,adidas originals cny year of snake denim jacket unisex denim black jy8275 japan!,298.0,USD,jackets,adidas,New with tags,unisex,https://www.ebay.com/itm/167559081151?_skw=new+adidas+jackets+unisex&hash=item27034cacbf:g:JBoAAOSweSVoPpOL&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYyyhjRIocUwM25DSxxvgd05AlOtEszainYHscxCT%2BcJDuTlVmcB6KAkmm3n0%2BLQ8zd5oYW8VvAl2HMnm0jKcKf6ifv6PuU1haluCKuzrRbj68b%2B923nTrgUG15xGMGGcd0pzrNmahCvTE8LrUq0Wk6fyGRJzfemNEsr4eOU5ylM3csU0I5ySo0%2FdJbanqRYOTHPkTAEt%2Fk61%2FkwHYtKa05y9geCfLvkRIP3xcty3pT4sB%2FG55IYLFxHEIVFgWp2JTfSgthWnlyFrUkIO1p%2B92El%2FNZLJ9Y%2Bz%2FLBXXwWnwF2g%3D%3D,2025-06-11 18:51:37
2649,new aeropostale coats mens,mens green aeropostale parka coat new (w/ tags - size small),65.0,USD,coats,,New with tags,men,https://www.ebay.com/itm/196430666622?_skw=new+aeropostale+coats+mens&hash=item2dbc2e1b7e:g:ESoAAOSwpCFmYhaG&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZIDTSv8TWrGkZib%2BEFhxi3X3kGehnvv0rY3Hk0cyBbM7wObSAGFgzXw7FUsuIF02Nvx6bqBWnpJZDgdX9z4vQLEDnC1kYrz7vwJB2wVulIPuqVtL1S%2Bn%2FHi1G7i5tBJI3akbpC7BYwm13B%2BnrT938oMw2OX%2BxPvif%2BmZPX%2F0Mt4Vlp7LAu0YdfAcLayS54%2FItBJyRNu258%2FqCiqtJNM%2FuJu94jTmGkzSwCid0a%2FeJwY0tSoPPgRpAZsknjrFZ2doQ7XNDJGktAigFL9GHv%2BnPRwMnYVDRQta9ZNS6EW2qOtg%3D%3D,2025-06-11 18:51:37
2650,new aeropostale coats mens,aeropostale bomber jacket men’s sz medium tan khaki nwt faux fur interior,40.82,USD,jackets,,New with tags,men,https://www.ebay.com/itm/135753574605?_skw=new+aeropostale+coats+mens&hash=item1f9b8b28cd:g:gUMAAeSwBT1oFB4b&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbtenMx57usvy8aTC1AGaUJWOExgDx60xvcWk0TljooxaISYq5DZTinN52OdRAE7I4uEKnGX--%2F9l4sVNZCeyHOcBeHa858HyjHAydaHLDhudUy7MVVe1Ij0ZBANt4sx%2FzFKApmSjTz88NMlyjRwXNHoj3EaCxiMWhEUorlzwXUZliL3DPMqxmXZ%2F8TjjG4NWXYFMxebYAa7G%2Bh6gwVf6scSgAEuGZIVFl7o8uDmgVhik11o3BzMFQUcT1DmAOOXJBwfE8vCl4W%2FTVGOTjM8Ep8LYWkA0GS2cqkiIp3IRtvtA%3D%3D,2025-06-11 18:51:37
2651,new aeropostale coats mens,nwt aeropostale jacket mens size large blue a87,45.0,USD,jackets,,New with tags,men,https://www.ebay.com/itm/376216961014?_skw=new+aeropostale+coats+mens&hash=item5798473ff6:g:8OYAAeSw-K9oFPod&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ubnbw%2FebvYi3XEGF8TR63YaPvgfrgGPIqNVda9CY%2F59MOSeuMFLeFoSXLYSpgoQ%2FZKf4cET0fwPP4hkpPxgl9yDDKHxpzpIeWg1bIWArBZqIcYxMtfLBU80S%2BNfokSi9QJpdZLJhtIlaaDguiHgRYf4zMEJknYmD0m9knTuc%2Favzet%2BWCNl1xmPmEfagdTFt1nXQnvdvuluzuehQIUPruGAkxwdk%2BXjN3Tm5NbO4OOivDHTITbwDNVaFPH5MQMZprG%2BqM3F8PRyD4UA3ZLO%2BMmzNc6rCTE7431QRXnA2u2qnQ%3D%3D,2025-06-11 18:51:37
2652,new aeropostale coats mens,mens guys aeropostale solid puffer jacket coat nwt #0734,34.99,USD,coats,,New with tags,men,https://www.ebay.com/itm/271157613200?_skw=new+aeropostale+coats+mens&hash=item3f2240d290:g:LucAAOxyQyJRjvJB&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZea3aoCVejpEXC3C4rzmPpwi1uZFh%2FCMG9zs4W4mnmlOq2wqYvHRD3ycuvFvi9hXPU8EwcBbbsN5tz%2F4E32Zz%2B0oErO4%2Bm4cKGHawkHmUPxh%2B5NbO28zcscQapUPQlE1lt5CB7m1WLzZprF9eV1%2F8KMYktHEN7KQxu2tMGy3l6ajfDpMnDZVtRbKzIEWapQ8qTi8HKUkRQ7TwBBZKCXg4uP6dkVqbhcIoNeblIB3eZuJXCrTy5Gev1LkFjS8f0dGrDkQdAfNW4ZWvbNKNX2p%2FM5xpgU55wp8NcKHPemTjrBw%3D%3D,2025-06-11 18:51:37
2653,new aeropostale coats mens,men's size small aeropostale windbreaker button coat beige,49.99,USD,coats,,New with tags,men,https://www.ebay.com/itm/276872601920?_skw=new+aeropostale+coats+mens&hash=item4076e4a140:g:LKYAAOSwImJnsTgO,2025-06-11 18:51:37
