id,search_term,title,price,currency,category,brand,condition,url
10,new adidas shoes womens,New Adidas Superstar KoRn Shoes - Core Black (IH1313),125.88,USD,,,New with tags,https://www.ebay.com/itm/376298330689?_skw=new+adidas+shoes+womens&hash=item579d20da41:g:7ZcAAOSwM3dn3Xfp&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYuVzAdOACmHnuh%2FkQKNK7%2FXFPmsr1hTAWTJjgVQi4MMdLAevyBPuw1yj7USUBvq427kGLbxnto%2BU6qlY5tdMXpexFrpQi5Hdd6QYLmRCPLsnu3JL6c45mkWppC6oEKgh8dachCXtEVFGxkacX3K11xTHSDpS21IFwd%2BZYvbeInhFRlG0KecT75lPftwWFnGHbd11NFOXyLF5ytkvpSnxP68J%2B5mkgFGkyweXTdzR08g3HkaFiKR2ttoOef%2FnayYKmBxGhCo7EToEkQt7GBo4xE%2FNLrE45K%2BzL4nSyENqEZNw%3D%3D
11,new adidas shoes womens,adidas women Adizero SL2 Running Shoes,65.00,USD,,,New with box,https://www.ebay.com/itm/157083832712?_skw=new+adidas+shoes+womens&hash=item2492ed1188:g:X3oAAeSwmdhoSv3m&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYjoGvJUaz0hpTjs3ppTYmFMRMs9s1GxtEmK%2FocAuKbWaKhwNmC%2BGKGRKv3xCmZeIaF2SzlcUvZvaYQxTsIuT4zhT6hk9n1XyGSgHuQSHDgvnmAgSMxE8Z%2BtBYJqwXxWezT7CCWxw6wgGV9TLMnG%2BeHsR%2FqveQc9VuQqO7G8PkpNyl0L%2FpxX8ssJJadAakEX5sW5%2FyBhNAfXLTCRxGZePDzSuXgfj%2BerVfLQo68EekMyMddKGccaL%2FliYJYK%2BgUb9tpjB5bpa4aATKUAqW7l3PT%2BJVQQEjKHoDUlL0A7McR2g%3D%3D
12,new adidas shoes womens,New Adidas Superstar KoRn Shoes - Core Black (IH1313),128.99,USD,,,New with tags,https://www.ebay.com/itm/376138515589?_skw=new+adidas+shoes+womens&hash=item57939a4485:g:7ZcAAOSwM3dn3Xfp&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYA7%2BqVpBopqKYGI%2B978fm5szFl3hp1AyXguPBWETKlwwAsCTN21wynwkWp2wle24VazIeL9rbOagmYrjkGJSd14%2FGFolyt78uCnfiEWLx0%2FBeau7hxSczPXrYKgJzgOHdYIILP6iQawz%2FNw1%2BCw9Jwa0kFaHQRojK1Q7LZQkqutEsjF72q7G%2Fcrkvv8j%2FP1Mx57kSLVtbHfz7xCD2F8BheNILZju8IaIzqmIz6aid32KNBwcvLJ32oUVg01XkDlIJ%2B72dyQXyganwmhSuhxMVkntdXJkqpmnRp5moVt0VxvA%3D%3D
13,new adidas shoes womens,Adidas Campus 00s W Shoes JQ5751 Pink & White New In Box Size 8 Womens ,64.99,USD,,,New with box,https://www.ebay.com/itm/388479282002?_skw=new+adidas+shoes+womens&hash=item5a732b6b52:g:iAgAAeSw23ZoNmMA&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZS1yWt%2BTklJ39N0s9ojcmXDlUQhFbUMavLkGJI28DqvW32e8X7qoH9kJ%2FvRi7nPOsvya9AM6qU5IrWpRw5n%2BsMt5fUID%2F6AkPYyeQF5lRX1tZ%2Bv0E6my%2Fjy%2Fxfo3NOg8Va0gvacOMxmrDegXnUy0XX3UiSL5ybYYRcJSGiTTIn%2BOEC2XG9Vi87%2BGhqcj%2FSFCDAI2pB76Mzwq8ofio14wGglPliKPInEWerZtsUIB0SHawARpORxaFT1MPKMh829IyvuF4TaS2lTatg%2BWXdTl6mvwCSvOlYn9965CnGCNJOfQ%3D%3D
14,new adidas shoes womens,Adidas VL Court Bold Women's Running Shoe Sneaker Athletic Trainer Footwear #788,74.95,USD,,,New with box,https://www.ebay.com/itm/305585978043?_skw=new+adidas+shoes+womens&hash=item472657fabb:g:mTQAAeSww-RoGRa6
15,new adidas shoes womens,Adidas Cloudfoam Pure Running Shoes Womens IG3866 Navy - NEW IN BOX,29.99,USD,,,New with box,https://www.ebay.com/itm/156901777003?_skw=new+adidas+shoes+womens&hash=item2488131e6b:g:pioAAOSwgXtoATmJ
16,new adidas shoes womens,Adidas Ultraboost 5X Women's Running Shoes White Purple JH9022 New,62.96,USD,,,New with box,https://www.ebay.com/itm/236090267970?_skw=new+adidas+shoes+womens&hash=item36f8139942:g:mycAAeSwhIxoG5od
17,new adidas shoes womens,Adidas 4DFWD 2 Women's Running Shoes White HP7646 New,62.96,USD,,,New with box,https://www.ebay.com/itm/236125138991?_skw=new+adidas+shoes+womens&hash=item36fa27b02f:g:2jgAAeSwzZNoNwAL
18,new adidas shoes womens,Adidas Cloudfoam Pure Running Shoes Womens Size 6.5 IG3866 Navy - NEW IN BOX,24.98,USD,,,New with box,https://www.ebay.com/itm/306187849888?_skw=new+adidas+shoes+womens&hash=item474a37d0a0:g:zXEAAOSwVvtn2kDw&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Uay2MuIaz5QVxQuvRTJYWC5ZIM5CqtsI8b9b0oJYM4uex21%2BylOqR8MnKo2Ad7BevOG9Zyshnv2DX%2F0AAq28C7PUvg6Xe%2FHjVkWAwvk53TQoCLE4hCXG7HNvCB5Ym9NbFvFAKhq8DiAV5mdBZmsXpM2tEwxAWGRU6ZDcVNuv9QVFieCFlf12CYTtIUiQwtaaIvl54xiVogUKU4QjSt9WOtubak2sbcuBofoxAYKnY%2FMf1SHSJ0L8lEC7LfZzLusz2lM2kBBSBAd%2FBxMcOaQ3Ws3M%2FFZ4TRPg%2BeFytm06jBA7Q%3D%3D
19,new adidas shoes womens,Adidas Originals Superstar XLG Women's Casual Shoes White/Green IF3002 New,44.96,USD,,,New without box,https://www.ebay.com/itm/335941852931?_skw=new+adidas+shoes+womens&hash=item4e37b1df03:g:2h4AAOSws3loFMz2&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYhWA6sxrBoIOGjWWeDM8CHGTVTf4I26HSSRzLETD3zgctADYPIVPyX72N9gQcdxGy0%2BUovch2nTIcgAjHLdLWpzny2ZE0GBkO8OqRttQ9SS26oCUhvCeLycOqQrQAL8ckzIyqSlp%2BFo6%2FRfdPIG9OYqxjK9Y01CI3yNgEtipFMZlqJ9Z2hswPXq2T%2FpgbXxQek%2Fze5lbXcg%2BndokLTtMHw3SAz5iTzzxXj1JEPNRTtgPfgcCgOW5jhGprUBo%2Fk9DniCU4TBxFHwAxn0quKP5OjY9si%2ByKhz9BrkFLenInvTg%3D%3D
20,new adidas shoes unisex,"Adidas Superstar XLG Junior Unisex Sneaker Originals Shoes, Black & White IG0288",44.99,USD,,,New with box,https://www.ebay.com/itm/256229046521?_skw=new+adidas+shoes+unisex&hash=item3ba870f8f9:g:qBMAAOSwCP1lBMDx&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UaxkW%2BFIyWH4tbDn%2FQHG3vny1pk12YmlH%2BaGdZmYtun71kwvD%2FwXpplquZelbTME%2FEwQU0p8O9dvy%2F4DEi8RQj1jzwzTYafVId5bOQn0C6pcbCF%2BG75GDKeCqfwRZ9LKoZAFzCAp6JoyNemd%2Fzq%2F832Sj8sNLu86%2BTScdwko43LC0HTOFAnAWLgS6XByXnUS7pHRlPHlHTYcU0MUkdbBNYS%2FGK5gOryPmINy%2BfcKjWs7MlGBeptktxkhODllfhoVHPyvt2XGGVESkvXOmIuYMf%2BiZkWUbr4Wnm7a2gsXUbMQw%3D%3D
21,new adidas shoes unisex,adidas Unisex Junior Child X Crazyfast.3 FG J Kid Shoes Cleats ID9352 New Size 1,35.00,USD,,,New with box,https://www.ebay.com/itm/146633483207?_skw=new+adidas+shoes+unisex&hash=item22240963c7:g:HaoAAOSwa3hoRJOg&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbRb5RqvDyIDXk9HsSszLNgdkZPiLV2yXCK3uufv%2F7ZvAi15HYo4vNktCOeu%2Fkm97fb5Rxdkl3HHQX7vkvdWKzDhH%2BeNkDrCzD94X72JwrDnE8KNEMVelIvS%2BpJVcKxxSDEB5sIJ0y3PJ7nZXo4kJ9gFwqT3PERt50ISg6eNi7hWglHoCE--aK3tvs0sWktyfJSciZCFCTdtE94fZyNMmawlRqW%2FxrCAvD1SQUxj%2FSy6YLdt4Rl9B2r4biqpVBfDZb9c8q4vFnKP9FJmYinXlX2xgcUkF0Voduj2FtEMOOXgQ%3D%3D
